time (s)	coil I (A)	last det (V)	int current (uC)
10142.260847	1.130182	0.028666	649.854614
10142.261738	1.483502	0.028666	1971.655029
10142.262675	0.589248	0.028666	2523.780518
10142.263546	0.091271	0.028666	2603.277344
10142.264506	0.087107	0.028666	2686.899902
10142.265469	0.087136	0.028666	2770.812012
10142.266358	0.087034	0.028666	2848.185059
10142.267315	0.087111	0.028666	2931.549805
10142.268240	0.087103	0.028666	3012.120361
10142.269162	0.087078	0.028666	3092.406006
10142.270026	0.087191	0.028666	3167.739258
10142.271065	0.087206	0.028666	3258.346191
10142.271938	0.087166	0.028666	3334.441650
10145.349109	1.015803	-0.042768	486.569733
10145.350194	1.476108	-0.042768	2088.147461
10145.351148	0.400089	-0.042768	2469.832520
10145.352010	0.089099	-0.042768	2546.635986
10145.353078	0.087158	-0.042768	2639.720947
10145.354069	0.086986	-0.042768	2725.924072
10145.354950	0.087063	-0.042768	2802.626465
10145.355921	0.087268	-0.042768	2887.363770
10145.356964	0.087180	-0.042768	2978.292725
10145.357882	0.087129	-0.042768	3058.277100
10145.358741	0.087125	-0.042768	3133.117676
10145.359817	0.087187	-0.042768	3226.931396
10149.567945	0.994248	0.121092	431.503662
10149.568805	1.472838	0.121092	1698.144531
10149.569900	0.629883	0.121092	2387.866211
10149.570807	0.090959	0.121092	2470.366455
10149.571672	0.087122	0.121092	2545.726562
10149.572642	0.087349	0.121092	2630.454834
10149.573657	0.087367	0.121092	2719.132324
10149.574545	0.087224	0.121092	2796.587402
10149.575409	0.087231	0.121092	2871.955322
10149.576472	0.087283	0.121092	2964.736816
10149.577413	0.087177	0.121092	3046.770020
10149.578291	0.087242	0.121092	3123.368896
10149.579252	0.087349	0.121092	3207.311035
10152.683981	1.002356	0.142135	441.036621
10152.684842	1.473230	0.142135	1709.487671
10152.685964	0.583070	0.142135	2363.692383
10152.686918	0.089333	0.142135	2448.916504
10152.687778	0.087155	0.142135	2523.869385
10152.688852	0.087352	0.142135	2617.685791
10152.689889	0.087136	0.142135	2708.046143
10152.690772	0.087253	0.142135	2785.090820
10152.691689	0.087360	0.142135	2865.199707
10152.692782	0.087272	0.142135	2960.587646
10152.693713	0.087286	0.142135	3041.851318
10152.694579	0.087209	0.142135	3117.374756
10152.695610	0.087327	0.142135	3207.408447
10155.799069	1.062510	-0.002328	541.880005
10155.800024	1.483473	-0.002328	1958.596680
10155.800889	0.667855	-0.002328	2536.291504
10155.801953	0.090469	-0.002328	2632.550293
